timestamp,last_price,bid_price,ask_price,bid_volume,ask_volume,volume_24h,high_24h,low_24h,change_24h,price_change_24h,bid_ask_spread,change_24h_normalized,spread_percentage,trend
2025-05-14 20:45:20,103714.29,103692.3,103692.31,3.00952,1.15684,2055928478.2054465,104976.25,102811.32,0.184,190.49,-0.00999999999476131,0.00184,-9.641872874761338e-06,bullish
2025-05-14 20:45:22,103690.02,103700.0,103700.01,3.93068,2.31694,2055799490.2205985,104976.25,102811.32,0.178,184.57,-0.00999999999476131,0.00178,-9.64412968071692e-06,bullish
2025-05-14 20:45:25,103705.0,103700.0,103700.01,4.60232,2.09067,2056491387.391927,104976.25,102811.32,0.198,205.0,-0.00999999999476131,0.00198,-9.642736603598004e-06,bullish
2025-05-14 20:45:27,103672.73,103687.85,103687.86,1.01648,7.06192,2056901024.56935,104976.25,102811.32,0.162,167.28,-0.00999999999476131,0.0016200000000000001,-9.645738078626183e-06,bullish
2025-05-14 20:45:29,103680.0,103664.53,103664.54,3.15336,2.64337,2058350140.9776556,104976.25,102811.32,0.174,180.0,-0.00999999999476131,0.0017399999999999998,-9.645061723342313e-06,bullish
2025-05-14 20:45:31,103674.66,103697.46,103697.47,5.98555,0.01346,2059864545.4467628,104976.25,102811.32,0.175,181.25,-0.00999999999476131,0.0017499999999999998,-9.645558514261161e-06,bullish
2025-05-14 20:45:33,103704.23,103714.28,103714.29,0.07332,3.60167,2059908119.6677477,104976.25,102811.32,0.204,210.81,-0.00999999999476131,0.0020399999999999997,-9.642808200553931e-06,bullish
2025-05-14 20:45:35,103714.28,103717.0,103717.01,6.66276,0.01214,2059927522.3639588,104976.25,102811.32,0.199,206.13,-0.00999999999476131,0.00199,-9.641873804418553e-06,bullish
2025-05-14 20:45:37,103732.79,103746.03,103746.04,1.36271,5.48647,2060179857.8444674,104976.25,102811.32,0.207,214.71,-0.00999999999476131,0.00207,-9.640153315804299e-06,bullish
2025-05-14 20:45:39,103746.03,103732.0,103732.01,3.033,2.89696,2060251272.919052,104976.25,102811.32,0.206,213.25,-0.00999999999476131,0.0020599999999999998,-9.638923045789137e-06,bullish
2025-05-14 20:45:41,103750.61,103727.89,103727.9,0.94717,5.38832,2060446981.1216426,104976.25,102811.32,0.21,217.83,-0.00999999999476131,0.0021,-9.638497542097642e-06,bullish
2025-05-14 20:45:43,103720.01,103736.83,103736.84,5.62992,1.06994,2059929439.862569,104976.25,102811.32,0.204,211.46,-0.00999999999476131,0.0020399999999999997,-9.641341140211335e-06,bullish
2025-05-14 20:45:45,103746.84,103752.83,103752.84,2.88873,2.15337,2060041372.288284,104976.25,102811.32,0.232,240.45,-0.00999999999476131,0.00232,-9.638847790218296e-06,bullish
2025-05-14 20:45:47,103733.0,103733.0,103733.01,8.33243,5.18358,2060451445.426899,104976.25,102811.32,0.237,244.93,-0.00999999999476131,0.0023699999999999997,-9.640133800007048e-06,bullish
2025-05-14 20:45:50,103727.82,103727.82,103727.83,1.08499,3.61515,2061171071.4001322,104976.25,102811.32,0.239,247.53,-0.00999999999476131,0.0023899999999999998,-9.640615212737827e-06,bullish
2025-05-14 20:45:52,103740.0,103740.0,103740.01,5.45012,3.34898,2062143187.444491,104976.25,102811.32,0.264,272.85,-0.00999999999476131,0.00264,-9.639483318644023e-06,bullish
2025-05-14 20:45:54,103742.47,103747.99,103748.0,4.30432,2.76807,2062283339.282324,104976.25,102811.32,0.257,266.0,-0.00999999999476131,0.0025700000000000002,-9.639253812600867e-06,bullish
2025-05-14 20:45:56,103747.99,103769.59,103769.6,7.11923,0.20879,2062618520.9517443,104976.25,102811.32,0.262,271.51,-0.010000000009313226,0.00262,-9.638740961934035e-06,bullish
2025-05-14 20:45:58,103769.6,103761.9,103761.91,0.94041,1.69673,2063097862.8781042,104976.25,102811.32,0.283,293.12,-0.010000000009313226,0.0028299999999999996,-9.636733695912123e-06,bullish
2025-05-14 20:46:00,103761.9,103769.58,103769.59,5.52218,0.47774,2063014664.2903101,104976.25,102811.32,0.265,274.22,-0.00999999999476131,0.00265,-9.637448808051232e-06,bullish
